Zeit,Gewicht,Veränderung,BMI,Körperfett,Skelettmuskelmasse,Knochenmasse,Körperwasser,
" Okt 24, 2023",
7:13 AM,79.6 kg,0.1 kg,24.8,22 %,33.7 kg,5.1 kg,56.9 %,
" Okt 17, 2023",
8:26 AM,79.5 kg,1.1 kg,24.8,22.3 %,33.6 kg,5.0 kg,56.7 %,
" Okt 16, 2023",
4:48 PM,80.6 kg,2.8 kg,25.2,21.6 %,33.9 kg,5.2 kg,57.3 %,
" Sep 22, 2023",
8:20 AM,77.8 kg,0.4 kg,24.3,21.4 %,33.2 kg,5.0 kg,57.4 %,
" Sep 15, 2023",
7:33 AM,77.4 kg,0.2 kg,24.2,20.8 %,33.1 kg,5.0 kg,57.8 %,
" Sep 14, 2023",
7:51 AM,77.2 kg,0.9 kg,24.1,20.6 %,33.0 kg,5.0 kg,57.9 %,
" Sep 13, 2023",
7:46 AM,76.3 kg,0.6 kg,23.8,20.4 %,32.8 kg,4.9 kg,58.1 %,
" Sep 11, 2023",
6:15 PM,76.9 kg,0.4 kg,24,20.6 %,33.0 kg,5.0 kg,58.0 %,
7:55 AM,77.3 kg,0.9 kg,24.1,20.4 %,33.1 kg,5.0 kg,58.1 %,
" Sep 10, 2023",
10:23 AM,78.2 kg,0.0 kg,24.4,20.4 %,33.3 kg,5.1 kg,58.1 %,
9:37 AM,78.2 kg,0.5 kg,24.4,20.4 %,33.3 kg,5.1 kg,58.1 %,
" Sep 9, 2023",
3:33 PM,77.7 kg,0.3 kg,24.2,20 %,33.2 kg,5.1 kg,58.4 %,
8:49 AM,77.4 kg,0.5 kg,24.2,20.4 %,33.1 kg,5.0 kg,58.1 %,
" Sep 8, 2023",
7:32 AM,76.9 kg,0.4 kg,24,21 %,33.0 kg,4.9 kg,57.7 %,
" Sep 7, 2023",
7:54 AM,77.3 kg,0.2 kg,24.1,20.8 %,33.1 kg,5.0 kg,57.8 %,
" Sep 5, 2023",
6:35 PM,77.1 kg,0.2 kg,24,20.5 %,33.0 kg,5.0 kg,58.0 %,
8:38 AM,77.3 kg,0.7 kg,24.1,19.6 %,33.1 kg,5.1 kg,58.7 %,
" Sep 2, 2023",
12:31 PM,76.6 kg,0.9 kg,23.9,20.8 %,32.9 kg,4.9 kg,57.8 %,
" Aug 31, 2023",
8:13 AM,77.5 kg,0.2 kg,24.2,20.4 %,33.1 kg,5.0 kg,58.1 %,
" Aug 26, 2023",
12:05 PM,77.3 kg,0.5 kg,24.1,22.1 %,33.1 kg,4.9 kg,56.9 %,
" Aug 21, 2023",
5:25 PM,77.8 kg,0.3 kg,24.3,20.9 %,33.2 kg,5.0 kg,57.8 %,
" Aug 18, 2023",
7:34 AM,78.1 kg,1.9 kg,24.4,20.8 %,33.3 kg,5.1 kg,57.8 %,
" Aug 16, 2023",
7:49 AM,76.2 kg,2.7 kg,23.8,20.8 %,32.8 kg,4.9 kg,57.8 %,
" Aug 14, 2023",
7:36 AM,78.9 kg,0.3 kg,24.6,20.8 %,33.5 kg,5.1 kg,57.8 %,
" Aug 13, 2023",
2:34 PM,79.2 kg,2.3 kg,24.7,--,--,--,--,
" Aug 12, 2023",
9:16 AM,76.9 kg,0.6 kg,24,21.4 %,33.0 kg,4.9 kg,57.4 %,
" Aug 11, 2023",
7:35 AM,76.3 kg,1.5 kg,23.8,20.7 %,32.8 kg,4.9 kg,57.9 %,
" Aug 10, 2023",
7:30 AM,77.8 kg,0.3 kg,24.3,20.6 %,33.2 kg,5.0 kg,58.0 %,
" Aug 8, 2023",
8:32 AM,78.1 kg,0.2 kg,24.4,20.7 %,33.3 kg,5.1 kg,57.9 %,
" Aug 5, 2023",
12:39 PM,77.9 kg,0.8 kg,24.3,20.7 %,33.2 kg,5.1 kg,57.9 %,
" Aug 3, 2023",
8:00 AM,78.7 kg,0.7 kg,24.5,21.6 %,33.4 kg,5.0 kg,57.3 %,
" Aug 2, 2023",
10:47 PM,79.4 kg,0.3 kg,24.8,--,--,--,--,
" Jul 31, 2023",
7:39 PM,79.1 kg,1.0 kg,24.7,20.5 %,33.5 kg,5.2 kg,58.0 %,
" Jul 29, 2023",
9:31 AM,78.1 kg,1.2 kg,24.4,--,--,--,--,
" Jul 18, 2023",
8:21 AM,76.9 kg,0.1 kg,24,20.9 %,33.0 kg,4.9 kg,57.7 %,
" Jul 12, 2023",
8:53 AM,77.0 kg,0.3 kg,24,20.6 %,33.1 kg,5.0 kg,58.0 %,
" Jul 11, 2023",
8:19 AM,76.7 kg,0.6 kg,23.9,21 %,33.0 kg,4.9 kg,57.7 %,
" Jul 10, 2023",
8:41 AM,77.3 kg,0.5 kg,24.1,20.3 %,33.2 kg,5.0 kg,58.2 %,
" Jul 6, 2023",
8:07 AM,77.8 kg,0.7 kg,24.3,20.5 %,33.3 kg,5.1 kg,58.1 %,
" Jul 4, 2023",
8:12 AM,77.1 kg,0.8 kg,24.1,21 %,33.1 kg,5.0 kg,57.7 %,
" Jul 1, 2023",
10:30 AM,77.9 kg,1.6 kg,24.3,20.4 %,33.3 kg,5.1 kg,58.1 %,
" Jun 30, 2023",
9:00 AM,76.3 kg,0.7 kg,23.8,20.9 %,33.0 kg,4.9 kg,57.8 %,
" Jun 28, 2023",
7:16 AM,77.0 kg,0.4 kg,24,20.7 %,33.1 kg,5.0 kg,57.9 %,
" Jun 27, 2023",
7:43 AM,77.4 kg,0.6 kg,24.2,20.4 %,33.2 kg,5.1 kg,58.1 %,
" Jun 26, 2023",
5:46 PM,78.0 kg,0.4 kg,24.3,--,--,--,--,
8:37 AM,77.6 kg,0.8 kg,24.2,20.1 %,33.3 kg,5.1 kg,58.3 %,
" Jun 25, 2023",
